Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
23640	1.1534	-2.5338e-002	4.8584e-002	3.3568e-002
23641	1.194	-3.1225e-002	3.2339e-002	3.5718e-002
23642	1.1728	-3.1119e-002	3.7068e-002	3.4545e-002
23643	1.0736	-3.8848e-002	1.7091e-002	2.9164e-002
23644	1.055	-4.0399e-002	1.6832e-002	2.8209e-002
23645	1.0638	-3.7869e-002	3.1059e-002	2.8695e-002
23646	1.0059	-4.4505e-002	1.6142e-002	2.5754e-002
23647	1.0353	-4.2048e-002	1.6556e-002	2.721e-002
23648	1.0261	-3.3727e-002	5.3081e-002	2.6918e-002
23649	1.0441	-3.9523e-002	3.086e-002	2.7688e-002
23650	1.0355	-4.289e-002	3.496e-002	2.7243e-002
23651	1.0134	-4.4506e-002	3.5384e-002	2.6149e-002
23652	0.91644	-5.1982e-002	1.4862e-002	2.1561e-002
23653	0.8965	-5.3648e-002	1.4572e-002	2.0676e-002
23654	0.90072	-5.154e-002	2.9358e-002	2.0897e-002
23655	0.84801	-5.7701e-002	1.3862e-002	1.8602e-002
23656	0.8774	-5.5244e-002	1.4294e-002	1.9846e-002
23657	0.86083	-5.2461e-002	3.8927e-002	1.9224e-002
23658	0.88155	-5.315e-002	2.9138e-002	2.006e-002
23659	0.85457	-5.691e-002	3.5775e-002	1.8915e-002
23660	0.76019	-6.504e-002	1.2552e-002	1.5127e-002
23661	0.74024	-6.6706e-002	1.225e-002	1.4391e-002
23662	0.76206	-6.3479e-002	2.6097e-002	1.5223e-002
23663	0.73657	-6.4534e-002	3.1374e-002	1.4301e-002
23664	0.76155	-6.8113e-002	2.5084e-002	1.5164e-002
23665	0.74616	-6.9373e-002	2.5058e-002	1.4593e-002
23666	0.69012	-7.0895e-002	1.1486e-002	1.2624e-002
23667	0.71952	-6.8438e-002	1.1935e-002	1.3646e-002
23668	0.7157	-6.6311e-002	3.1045e-002	1.3552e-002
23669	0.59548	-7.8802e-002	1.0017e-002	9.6035e-003
23670	0.58037	-8.0065e-002	9.7789e-003	9.1584e-003
23671	0.58879	-7.6306e-002	3.2612e-002	9.4594e-003
23672	0.58032	-8.3114e-002	2.3569e-002	9.145e-003
23673	0.53469	-8.3881e-002	9.0551e-003	7.8794e-003
23674	0.5624	-8.1566e-002	9.4951e-003	8.6433e-003
23675	0.57062	-7.783e-002	3.2437e-002	8.9294e-003
