Node Number	X Location (m)	Y Location (m)	Z Location (m)	Total Deformation (m)
186	3.	0.51294	-1.2806e-003	0.23891
187	0.15787	1.0162	-2.5947e-003	1.7296e-002
188	0.31572	0.98862	-4.9233e-003	4.5272e-002
189	0.47355	0.96091	-6.9848e-003	7.1056e-002
190	0.63138	0.93314	-8.7774e-003	9.3306e-002
191	0.78921	0.90533	-1.0299e-002	0.11022
192	0.94703	0.87751	-1.1547e-002	0.12118
193	1.1049	0.84972	-1.252e-002	0.12701
194	1.2627	0.82198	-1.3216e-002	0.12815
195	1.4206	0.79432	-1.3636e-002	0.12611
196	1.5784	0.76676	-1.3777e-002	0.12334
197	1.7363	0.73932	-1.364e-002	0.1205
198	1.8943	0.712	-1.3223e-002	0.12158
199	2.0522	0.68481	-1.2527e-002	0.12473
200	2.2101	0.65774	-1.1548e-002	0.13499
201	2.3681	0.63078	-1.0284e-002	0.14674
202	2.5261	0.60388	-8.7311e-003	0.16463
203	2.6841	0.57701	-6.8813e-003	0.18467
204	2.8421	0.55009	-4.7257e-003	0.2138
205	3.	0.52304	-2.2521e-003	0.24024
206	0.15784	1.0043	-2.955e-002	1.7624e-002
207	0.31568	0.9763	-2.9694e-002	4.5527e-002
208	0.47352	0.94839	-2.9725e-002	7.0707e-002
209	0.63136	0.92056	-2.9647e-002	9.2451e-002
210	0.78919	0.8928	-2.9467e-002	0.10891
211	0.94704	0.86512	-2.9186e-002	0.11934
212	1.1049	0.83754	-2.8809e-002	0.12482
213	1.2627	0.81006	-2.8339e-002	0.12556
214	1.4206	0.78269	-2.7777e-002	0.12336
215	1.5785	0.75543	-2.7127e-002	0.12029
216	1.7364	0.72829	-2.639e-002	0.11734
217	1.8943	0.70128	-2.5568e-002	0.11831
218	2.0522	0.67438	-2.4662e-002	0.12131
219	2.2102	0.64761	-2.3672e-002	0.13168
220	2.3681	0.62096	-2.2598e-002	0.14326
221	2.5261	0.59442	-2.1437e-002	0.16133
222	2.684	0.56798	-2.0187e-002	0.18157
223	2.842	0.54163	-1.8839e-002	0.21202
224	3.	0.51536	-1.7384e-002	0.2399
225	3.	0.49948	-2.34e-002	0.2332
226	2.8421	0.52616	-2.445e-002	0.20708
227	2.6842	0.55281	-2.5498e-002	0.17463
228	2.5264	0.57944	-2.6545e-002	0.15525
229	2.3685	0.60604	-2.7592e-002	0.13685
230	2.2106	0.63263	-2.8638e-002	0.12608
231	2.0527	0.65921	-2.9685e-002	0.11537
232	1.8948	0.68578	-3.0731e-002	0.11299
233	1.7369	0.71234	-3.1778e-002	0.112
234	1.579	0.73889	-3.2824e-002	0.11539
235	1.4211	0.76544	-3.3871e-002	0.11882
236	1.2632	0.79198	-3.4918e-002	0.12136
237	1.1053	0.81851	-3.5966e-002	0.12127
238	0.94741	0.84505	-3.7013e-002	0.11627
239	0.78951	0.87157	-3.8061e-002	0.10676
240	0.63161	0.8981	-3.9109e-002	9.1076e-002
241	0.47371	0.92462	-4.0157e-002	7.0056e-002
242	0.3158	0.95115	-4.1205e-002	4.604e-002
243	0.1579	0.97767	-4.2253e-002	1.7931e-002
244	2.8421	0.48526	-2.4868e-002	0.18943
245	2.6842	0.50806	-2.6477e-002	0.14904
246	2.5264	0.53084	-2.8085e-002	0.13292
247	2.3685	0.5536	-2.9692e-002	0.11004
248	2.2106	0.57635	-3.1299e-002	0.10204
249	2.0527	0.59908	-3.2906e-002	8.7896e-002
250	1.8948	0.6218	-3.4513e-002	8.7935e-002
251	1.7369	0.64452	-3.612e-002	8.575e-002
252	1.579	0.66722	-3.7728e-002	9.1353e-002
253	1.4211	0.68992	-3.9335e-002	9.5957e-002
254	1.2632	0.71262	-4.0943e-002	0.10048
255	1.1053	0.73531	-4.2551e-002	0.10378
256	0.9474	0.758	-4.4159e-002	0.10119
257	0.7895	0.78068	-4.5767e-002	9.632e-002
258	0.6316	0.80336	-4.7376e-002	8.3486e-002
